filename,path,folder,extension,size_mb
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(1).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(1).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy.pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy.pdf,home/ubuntu/upload,pdf,0.38
sentemailtoprosecutor.pdf,consolidated_case_data/home/ubuntu/upload/sentemailtoprosecutor.pdf,home/ubuntu/upload,pdf,0.11
printFile(1).pdf,consolidated_case_data/home/ubuntu/upload/printFile(1).pdf,home/ubuntu/upload,pdf,0.09
printFile.pdf,consolidated_case_data/home/ubuntu/upload/printFile.pdf,home/ubuntu/upload,pdf,0.08
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(2).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(2).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(3).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(3).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(4).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(4).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(5).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(5).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(6).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(6).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(7).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(7).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(8).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(8).pdf,home/ubuntu/upload,pdf,0.38
R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(9).pdf,consolidated_case_data/home/ubuntu/upload/R_v_Fraider_Affidavit_in_Support_(Amended_14Oct2025)_copy(9).pdf,home/ubuntu/upload,pdf,0.38